platform,north_america_original,north_america,europe_original,europe,japan_original,japan,rest_of_the_world_original,rest_of_the_world,unknown_sales,global_original,global,released_date,discontinued_date,msrp_usd,handheld,total_available_games,failure_rate_percentage,vendor,position_when_scraped
Sega Master System (MS),2,2000000,6.95,6950000,2.52,2520000,9.37,9370000,0,20.84,20840000,1986,1996,200.00,FALSE,336,7.5,Sega,23
PlayStation Vita (PSV),2.7,2700000,3.94,3940000,5.73,5730000,3.44,3440000,10000,15.82,15820000,2011,2019,249.99,TRUE,1105,7.5,Sony,24
Nintendo Wii U (WiiU),6.15,6150000,3.27,3270000,3.33,3330000,0.82,820000,0,13.57,13570000,2012,2017,299.00,FALSE,554,7.5,Nintendo,25
GameGear (GG),5.4,5400000,3.23,3230000,1.78,1780000,0.21,210000,0,10.62,10620000,1990,2000,149.99,TRUE,334,7.5,Sega,26
TurboGrafx-16 (TG16),0.75,750000,0,0,7.76,7760000,0,0,1490000,10,10000000,1987,1994,199.00,FALSE,686,7.5,NEC,27
Sega Saturn (SAT),1.83,1830000,1.1,1100000,5.8,5800000,0.53,530000,0,9.26,9260000,1994,2000,399.00,FALSE,739,7.5,Sega,28
Dreamcast (DC),3.9,3900000,1.91,1910000,2.25,2250000,1.07,1070000,0,9.13,9130000,1998,2001,199.00,FALSE,655,7.5,Sega,29
Sega Advanced Pico Beena (Beena),0,0,0,0,0,0,0,0,4100000,4.1,4100000,2005,2011,109.99,TRUE,233,7.5,Sega,30
Atari 7800 (7800),3.77,3770000,0,0,0,0,0,0,0,3.77,3770000,1986,1992,140.00,FALSE,59,7.5,Atari,31
WonderSwan (WS),0,0,0,0,3.5,3500000,0,0,0,3.5,3500000,1999,2003,40.99,TRUE,199,7.5,Bandai,32
Sega Pico (Pico),0,0,0,0,0,0,0,0,3400000,3.4,3400000,1993,2005,139.00,TRUE,233,7.5,Sega,33
Intellivision (Int),0,0,0,0,0,0,0,0,3000000,3,3000000,1979,1990,275.00,FALSE,134,7.5,Mattel Electronics,34
N-Gage (NGage),0,0,0,0,0,0,0,0,3000000,3,3000000,2003,2006,299.00,TRUE,61,7.5,Nokia,35
Sega CD (SCD),0,0,0,0,0.4,400000,0,0,1840000,2.24,2240000,1991,1996,299.00,FALSE,218,7.5,Sega,36
3DO Interactive Multiplayer (3DO),0,0,0,0,0,0,0,0,2000000,2,2000000,1993,1997,699.99,FALSE,305,7.5,The 3DO Company,37
ColecoVision (CV),0,0,0,0,0,0,0,0,2000000,2,2000000,1982,1985,175.00,FALSE,46,7.5,Coleco,38
Neo Geo Pocket (NGP),0,0,0,0,0.55,550000,0,0,1450000,2,2000000,1998,1999,69.95,TRUE,9,7.5,SNK,39
Magnavox Odyssey 2 (Odys2),0,0,0,0,0,0,0,0,2000000,2,2000000,1978,1984,179.00,FALSE,47,7.5,Magnavox,40
Sega SG-1000 (SG),0,0,0,0,1.92,1920000,0,0,0,1.92,1920000,1983,1985,61.95,FALSE,105,7.5,Sega,41
TurboExpress (TE),0,0,0,0,0,0,0,0,1500000,1.5,1500000,1990,1994,249.99,FALSE,277,7.5,NEC,42
Neo Geo (NG),0,0,0,0,1,1000000,0,0,60000,1.06,1060000,1990,1997,649.00,FALSE,172,7.5,SNK,43
Atari Lynx (Lynx),0,0,0,0,0,0,0,0,1000000,1,1000000,1989,1995,179.99,TRUE,89,7.5,Atari,44
Atari 5200 (5200),1,1000000,0,0,0,0,0,0,0,1,1000000,1982,1984,299.00,FALSE,73,7.5,Atari,45
CD-i (CDi),0.4,400000,0,0,0,0,0,0,600000,1,1000000,1990,1998,1000.00,FALSE,208,7.5,Philips,46
Coleco Telstar (CT),1,1000000,0,0,0,0,0,0,0,1,1000000,1976,1978,99.99,FALSE,6,7.5,Coleco,47
Dingoo (Ding),0,0,0,0,0,0,1,1000000,0,1,1000000,2009,2012,100.00,TRUE,54,7.5,Dingoo Digital Technology,48
Genesis Nomad (GN),1,1000000,0,0,0,0,0,0,0,1,1000000,1995,1999,179.00,TRUE,805,7.5,Sega,49
Sega 32X (S32X),0,0,0,0,0,0,0,0,800000,0.8,800000,1994,1996,159.99,FALSE,40,7.5,Sega,50
Virtual Boy (VB),0,0,0,0,0.14,140000,0,0,630000,0.77,770000,1995,1996,179.00,FALSE,22,7.5,Nintendo,51
Neo Geo CD (NGCD),0,0,0,0,0,0,0,0,570000,0.57,570000,1994,1997,399.00,FALSE,93,7.5,SNK,52
Cybiko (Cyb),0,0,0,0,0,0,0,0,500000,0.5,500000,2000,2003,60.00,TRUE,430,7.5,Cybiko,53
PC-FX (PCFX),0,0,0,0,0.4,400000,0,0,0,0.4,400000,1994,1998,499.00,FALSE,67,7.5,NEC,54
Cassette Vision (CaVi),0,0,0,0,0.4,400000,0,0,0,0.4,400000,1981,1984,135.00,FALSE,11,7.5,Epoch Company,55
Fairchild Channel F (FCF),0,0,0,0,0,0,0,0,350000,0.35,350000,1976,1983,169.95,FALSE,35,7.5,Fairchild Camera and Instrument,56
Magnavox Odyssey (Odys),0,0,0,0,0,0,0,0,350000,0.35,350000,1972,1975,99.95,FALSE,28,7.5,Magnavox,57
Game.com (Ga),0,0,0,0,0,0,0,0,300000,0.3,300000,1997,2000,69.95,TRUE,21,7.5,Tiger Electronics,58
Super Cassette Vision (SCaVi),0,0,0,0,0.3,300000,0,0,0,0.3,300000,1984,1987,59.99,FALSE,30,7.5,Epoch Company,59
Atari Jaguar (AJ),0,0,0,0,0,0,0,0,250000,0.25,250000,1993,1996,249.99,FALSE,72,7.5,Atari,60
Tapwave Zodiac (TZ),0,0,0,0,0,0,0,0,200000,0.2,200000,2003,2005,399.00,TRUE,75,7.5,Tapwave,61
Ouya (Ouya),0,0,0,0,0,0,0,0,200000,0.2,200000,2013,2015,99.00,FALSE,25,7.5,Ouya,62
Neo Geo Pocket Color (NGPC),0,0,0.1,100000,0.03,30000,0,0,0,0.13,130000,1999,2001,69.95,TRUE,73,7.5,SNK,63
Tomy Tutor (TT),0,0,0,0,0.12,120000,0,0,0,0.12,120000,1982,1985,219.00,FALSE,27,7.5,Tomy,64
Amiga CD32 (CD32),0,0,0.1,100000,0,0,0,0,0,0.1,100000,1993,1994,399.00,FALSE,147,7.5,Commodore,65
PC Engine SuperGrafx (SGrafx),0,0,0,0,0.08,80000,0,0,0,0.08,80000,1989,1990,300.00,FALSE,5,7.5,NEC,66
Game Wave (GW),0.07,70000,0,0,0,0,0,0,0,0.07,70000,2005,2009,99.00,FALSE,14,7.5,Zapit Games,67
GP2X (GP2X),0,0,0,0,0,0,0.06,60000,0,0.06,60000,2005,2008,179.00,TRUE,22,7.5,Game Park,68
RCA Studio II (RCA),0.06,60000,0,0,0,0,0,0,0,0.06,60000,1977,1978,149.00,FALSE,38,7.5,RCA,69
Playdate (PD),0,0,0,0,0,0,0,0,50000,0.05,50000,2022,,179.00,TRUE,24,7.5,Panic Inc.,70
APF-MP1000 (MP1000),0.05,50000,0,0,0,0,0,0,0,0.05,50000,1978,1981,130.00,FALSE,13,7.5,APF Electronics Inc.,71
FM Towns Marty (FMTM),0,0,0,0,0.05,50000,0,0,0,0.05,50000,1993,1995,710.00,FALSE,638,7.5,Fujitsu,72
Apple Pippin (AP),0,0,0,0,0,0,0,0,40000,0.04,40000,1996,1997,599.00,FALSE,110,7.5,Apple,73
GamePark 32 (GP32),0,0,0,0,0,0,0,0,30000,0.03,30000,2001,2005,199.00,FALSE,28,7.5,Game Park,74
Gizmondo (GIZ),0,0,0,0,0,0,0,0,20000,0.02,20000,2005,2006,400.00,TRUE,55,7.5,Tiger Telematics,75
Amstrad GX4000 (GX4000),0,0,0.02,20000,0,0,0,0,0,0.02,20000,1990,1991,169.00,FALSE,30,7.5,Amstrad,76
Commodore 64 Games System (C64GS),0,0,0.02,20000,0,0,0,0,0,0.02,20000,1990,1990,189.00,FALSE,25,7.5,Commodore,77
IQue Player (IQue),0,0,0,0,0,0,0.01,10000,0,0.01,10000,2003,2016,60.00,FALSE,17,7.5,iQue,78
Tandy Video Information System (VIS),0.01,10000,0,0,0,0,0,0,0,0.01,10000,1992,1994,699.00,FALSE,16,7.5,Tandy,79
HyperScan (HS),0,0,0,0,0,0,0,0,10000,0.01,10000,2006,2007,69.99,FALSE,5,7.5,Mattel,80
Adventure Vision (AV),0.01,10000,0,0,0,0,0,0,0,0.01,10000,1982,1983,79.95,FALSE,4,7.5,Entex Industries,81
Palmtex Portable Videogame System (PVS),0.01,10000,0,0,0,0,0,0,0,0.01,10000,1984,1985,39.95,TRUE,3,7.5,Palmtex,82
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
